table,block,architecture,algorithm,optimizer,scheme,voltage_amp,current_amp,model_seed,shuffle_seed,split_seed,G_min,G_max,epochs,T,K,planned_action,prelaunch_dependency,source_result_or_completion_record,template_or_parent_config,cell_id,original_planned_action,training_status,paper_status,official_test_status,collected_result,source_result_sha256,best_validation_accuracy_percent,final_validation_accuracy_percent,completed_epochs,source_evidence_class,source_target,future_target_and_job,source_commit,source_archive_sha256,official_test_read,last_checked
table3,T3_BPTT,conv3,BPTT,Adam,baseline,1,1,2,2,0,0.00001,0.0001,30,24,8,matched_baseline_TK_replacement,same_config_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_BPTT_conv3_baseline_gmax0.0001_seed2.json,T3_BPTT_conv3_baseline_gmax0.0001_seed2,launch_new_seed,planned_replacement,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,false,2026-09-13
table3,T3_BPTT,conv3,BPTT,Adam,baseline,1,1,2,2,0,0.00001,0.0005,30,24,8,matched_baseline_TK_replacement,same_config_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_BPTT_conv3_baseline_gmax0.0005_seed2.json,T3_BPTT_conv3_baseline_gmax0.0005_seed2,launch_new_seed,planned_replacement,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,false,2026-09-13
table3,T3_BPTT,conv3,BPTT,Adam,baseline,1,1,2,2,0,0.00001,0.001,30,24,8,matched_baseline_TK_replacement,same_config_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_BPTT_conv3_baseline_gmax0.001_seed2.json,T3_BPTT_conv3_baseline_gmax0.001_seed2,launch_new_seed,planned_replacement,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,false,2026-09-13
table3,T3_EP,conv2,EP,Adam,baseline,1,1,2,2,0,0.00001,0.0005,30,12,6,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_frozen_guard_exact_smokes_budget_and_idle_target,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv2_baseline_gmax0.0005_seed2.json,T3_EP_conv2_baseline_gmax0.0005_seed2,launch_new_bounded_ep,qualified_stable_pilot_group_pending_admission,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,nom-cool-1: whole three-ceiling seed group; cases not admitted,,,false,2026-09-14T07:39:52.639Z
table3,T3_EP,conv2,EP,Adam,baseline,1,1,1,1,0,0.00001,0.001,30,12,6,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_frozen_guard_exact_smokes_budget_and_idle_target,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv2_baseline_gmax0.001_seed1.json,T3_EP_conv2_baseline_gmax0.001_seed1,launch_new_bounded_ep,qualified_stable_pilot_group_pending_admission,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,akibscomputer: whole three-ceiling seed group; cases not admitted,,,false,2026-09-14T07:39:52.639Z
table3,T3_EP,conv2,EP,Adam,baseline,1,1,2,2,0,0.00001,0.001,30,12,6,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_frozen_guard_exact_smokes_budget_and_idle_target,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv2_baseline_gmax0.001_seed2.json,T3_EP_conv2_baseline_gmax0.001_seed2,launch_new_bounded_ep,qualified_stable_pilot_group_pending_admission,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,nom-cool-1: whole three-ceiling seed group; cases not admitted,,,false,2026-09-14T07:39:52.639Z
table3,T3_EP,conv3,EP,Adam,baseline,1,1,1,1,0,0.00001,0.0001,30,24,8,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_source_freeze_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.0001_seed1.json,T3_EP_conv3_baseline_gmax0.0001_seed1,launch_new_bounded_ep,awaiting_all_three_full_revised_seed0_pilots,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,2,2,0,0.00001,0.0001,30,24,8,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_source_freeze_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.0001_seed2.json,T3_EP_conv3_baseline_gmax0.0001_seed2,launch_new_bounded_ep,awaiting_all_three_full_revised_seed0_pilots,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,0,0,0,0.00001,0.0005,30,24,8,new_matched_baseline_EP,source_freeze_same_config_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.0005_seed0.json,T3_EP_conv3_baseline_gmax0.0005_seed0,launch_new_bounded_ep,numerically_qualified_seed0_pilot_pending,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,1,1,0,0.00001,0.0005,30,24,8,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_source_freeze_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.0005_seed1.json,T3_EP_conv3_baseline_gmax0.0005_seed1,launch_new_bounded_ep,awaiting_all_three_full_revised_seed0_pilots,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,2,2,0,0.00001,0.0005,30,24,8,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_source_freeze_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.0005_seed2.json,T3_EP_conv3_baseline_gmax0.0005_seed2,launch_new_bounded_ep,awaiting_all_three_full_revised_seed0_pilots,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,0,0,0,0.00001,0.001,30,24,8,new_matched_baseline_EP,source_freeze_same_config_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.001_seed0.json,T3_EP_conv3_baseline_gmax0.001_seed0,launch_new_bounded_ep,numerically_qualified_seed0_pilot_pending,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,1,1,0,0.00001,0.001,30,24,8,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_source_freeze_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.001_seed1.json,T3_EP_conv3_baseline_gmax0.001_seed1,launch_new_bounded_ep,awaiting_all_three_full_revised_seed0_pilots,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,2,2,0,0.00001,0.001,30,24,8,new_matched_baseline_EP,all_three_full_revised_seed0_pilots_source_freeze_smoke_and_budget,,configs/conv/paper_baseline_tk_revision_20260913_v1/training/T3_EP_conv3_baseline_gmax0.001_seed2.json,T3_EP_conv3_baseline_gmax0.001_seed2,launch_new_bounded_ep,awaiting_all_three_full_revised_seed0_pilots,revised_operating_point_training_pending,pending_contract_and_checkpoint_seal,,,,,,,,loulou after its original wave; not admitted,,,false,2026-09-14T05:14:47.641232+00:00
