table,block,architecture,algorithm,optimizer,scheme,voltage_amp,current_amp,model_seed,shuffle_seed,split_seed,G_min,G_max,epochs,T,K,planned_action,prelaunch_dependency,source_result_or_completion_record,template_or_parent_config,cell_id,original_planned_action,training_status,paper_status,official_test_status,collected_result,source_result_sha256,best_validation_accuracy_percent,final_validation_accuracy_percent,completed_epochs,source_evidence_class,source_target,future_target_and_job,source_commit,source_archive_sha256,official_test_read,last_checked
table1,T1_BPTT,conv1,BPTT,Adam,baseline,1,1,0,0,0,0,100,10,4,4,reuse_collected_pending_paper_audit,paper_reuse_pair_audit_and_final_contract_seal,results/perfectdiode-conv123-zero-bias-ordinary-mnist-seed0-20260805-v1/runs/001_01_baseline_adam_bias_zero_seed0_40538811/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/01_baseline_adam_bias_zero_seed0.json,T1_BPTT_conv1_baseline_gmax100_seed0,reuse_local,complete_collected_validated,reuse_and_pair_audit_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/baseline/seed0/result.json,1b5c333a290e72ea914b4ba0f4e6214040b50334db6b73d178752c88b1e4ba0e,96.16,96.00,10,ordinary_mnist_bias_ablation,jean-zay,,ac941dffa75ad142be3703c43134813168ac6f11,382df19e2baaea3b5d544a9e38fc5a348c7e1f8d6868254fcb2176d8c7ad213b,false,2026-09-11
table1,T1_BPTT,conv1,BPTT,Adam,baseline,1,1,1,1,0,0,100,10,4,4,launch_new_seed,frozen_settings_check_and_seed_assets,results/paper-training-completion-20260911-v1/production/main_initial/000_T1_BPTT_conv1_baseline_gmax100_seed1_2100331f/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/01_baseline_adam_bias_zero_seed0.json,T1_BPTT_conv1_baseline_gmax100_seed1,launch_new_seed,complete_collected_validated,training_collected_paper_gates_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/baseline/seed1/result.json,f6772e1d2987a10654adaa38d3fa47c56ae8b475642e1ccecab2861c965215dc,96.26,96.26,10,ordinary_mnist_training_completion,main,main: tmux main/@1,022098cfe6eb151dff3f7403d3f4b358709152b9,e31766d681e85323da108150d5137f80764d63a869d2ffca95584f44e4dda6e8,false,2026-09-11T11:23:50.318878+00:00
table1,T1_BPTT,conv1,BPTT,Adam,baseline,1,1,2,2,0,0,100,10,4,4,launch_new_seed,frozen_settings_check_and_seed_assets,results/paper-training-completion-20260911-v1/production/main_initial/000_T1_BPTT_conv1_baseline_gmax100_seed2_d84ecd36/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/01_baseline_adam_bias_zero_seed0.json,T1_BPTT_conv1_baseline_gmax100_seed2,launch_new_seed,complete_collected_validated,training_collected_paper_gates_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/baseline/seed2/result.json,5ebf19fd6228d55c36c9df4028d9e7cdfeb80f8358988203fd745e9332d72113,96.38,96.28,10,ordinary_mnist_training_completion,main,main: tmux main/@1,022098cfe6eb151dff3f7403d3f4b358709152b9,e31766d681e85323da108150d5137f80764d63a869d2ffca95584f44e4dda6e8,false,2026-09-11T11:30:39.672932+00:00
table1,T1_BPTT,conv1,BPTT,Adam,ours,4,1,0,0,0,0,100,10,4,4,reuse_collected_pending_paper_audit,paper_reuse_pair_audit_and_final_contract_seal,results/perfectdiode-conv123-zero-bias-ordinary-mnist-seed0-20260805-v1/runs/003_03_ours_adam_bias_zero_seed0_26fe23f0/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/03_ours_adam_bias_zero_seed0.json,T1_BPTT_conv1_ours_gmax100_seed0,reuse_local,complete_collected_validated,reuse_and_pair_audit_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/ours/seed0/result.json,2e94e68a27e90826425e2ab161c6f70d555f8a7dbb2e98c955703fdc279fc5a4,96.44,96.32,10,ordinary_mnist_bias_ablation,jean-zay,,ac941dffa75ad142be3703c43134813168ac6f11,382df19e2baaea3b5d544a9e38fc5a348c7e1f8d6868254fcb2176d8c7ad213b,false,2026-09-11
table1,T1_BPTT,conv1,BPTT,Adam,ours,4,1,1,1,0,0,100,10,4,4,launch_new_seed,frozen_settings_check_and_seed_assets,results/paper-training-completion-20260911-v1/production/main_initial/000_T1_BPTT_conv1_ours_gmax100_seed1_ddebd4ae/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/03_ours_adam_bias_zero_seed0.json,T1_BPTT_conv1_ours_gmax100_seed1,launch_new_seed,complete_collected_validated,training_collected_paper_gates_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/ours/seed1/result.json,a76de2cb1bcd41208dbf3d7a9d76c4c62f75cb604137a9ecd81a470d35b2e991,96.46000000000001,96.36,10,ordinary_mnist_training_completion,main,main: tmux main/@1,022098cfe6eb151dff3f7403d3f4b358709152b9,e31766d681e85323da108150d5137f80764d63a869d2ffca95584f44e4dda6e8,false,2026-09-11T12:02:28.748959+00:00
table1,T1_BPTT,conv1,BPTT,Adam,ours,4,1,2,2,0,0,100,10,4,4,launch_new_seed,frozen_settings_check_and_seed_assets,results/paper-training-completion-20260911-v1/production/main_initial/000_T1_BPTT_conv1_ours_gmax100_seed2_e9680882/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/03_ours_adam_bias_zero_seed0.json,T1_BPTT_conv1_ours_gmax100_seed2,launch_new_seed,complete_collected_validated,training_collected_paper_gates_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/ours/seed2/result.json,1adcf26833a9cef5aa78024f9944b559f67fc21b048cddfddca996dc56284d9e,96.58,96.3,10,ordinary_mnist_training_completion,main,main: tmux main/@1,022098cfe6eb151dff3f7403d3f4b358709152b9,e31766d681e85323da108150d5137f80764d63a869d2ffca95584f44e4dda6e8,false,2026-09-11T12:02:28.748959+00:00
table1,T1_BPTT,conv1,BPTT,Adam,legacy,4,0.25,0,0,0,0,100,10,4,4,reuse_collected_pending_paper_audit,paper_reuse_pair_audit_and_final_contract_seal,results/perfectdiode-conv1-legacy-physical-kcl-same-weights-and-bptt-rerun-seed0-20260825-v1/same_lr_bptt/001_05_legacy_adam_bias_zero_seed0_4469a635/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/05_legacy_adam_bias_zero_seed0.json,T1_BPTT_conv1_legacy_gmax100_seed0,retrieve_completed,complete_collected_validated,reuse_and_pair_audit_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/legacy/seed0/result.json,6a7f13f75fe6347c354bd0b534ece540b27f8ae52063323494b4a3dffe8482ea,96.50,96.44,10,ordinary_mnist_physical_kcl_same_lr_diagnostic,main,,f016bf6a751451d23d17f76c1034044e11acd3be,,false,2026-09-11
table1,T1_BPTT,conv1,BPTT,Adam,legacy,4,0.25,1,1,0,0,100,10,4,4,launch_new_seed,frozen_settings_check_and_seed_assets,results/paper-training-completion-20260911-v1/production/main_initial/000_T1_BPTT_conv1_legacy_gmax100_seed1_88b31063/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/05_legacy_adam_bias_zero_seed0.json,T1_BPTT_conv1_legacy_gmax100_seed1,launch_new_seed,complete_collected_validated,training_collected_paper_gates_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/legacy/seed1/result.json,9b21e24ad2756e0a367cca544085a30e1cbcb36439bf03d43d566997fbeae7dd,96.52,96.52,10,ordinary_mnist_training_completion,main,main: tmux main/@1,022098cfe6eb151dff3f7403d3f4b358709152b9,e31766d681e85323da108150d5137f80764d63a869d2ffca95584f44e4dda6e8,false,2026-09-11T11:36:12.752629+00:00
table1,T1_BPTT,conv1,BPTT,Adam,legacy,4,0.25,2,2,0,0,100,10,4,4,launch_new_seed,frozen_settings_check_and_seed_assets,results/paper-training-completion-20260911-v1/production/main_initial/000_T1_BPTT_conv1_legacy_gmax100_seed2_b4e680d1/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv1/05_legacy_adam_bias_zero_seed0.json,T1_BPTT_conv1_legacy_gmax100_seed2,launch_new_seed,complete_collected_validated,training_collected_paper_gates_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv1/legacy/seed2/result.json,59eb7e9e7fe4edec5472741a0913ffa2911391b466a49dbffb4ba993618f6ad7,96.6,96.52,10,ordinary_mnist_training_completion,main,main: tmux main/@1,022098cfe6eb151dff3f7403d3f4b358709152b9,e31766d681e85323da108150d5137f80764d63a869d2ffca95584f44e4dda6e8,false,2026-09-11T11:47:51.265060+00:00
table1,T1_BPTT,conv2,BPTT,Adam,baseline,1,1,0,0,0,0,100,30,6,6,reuse_collected_pending_paper_audit,paper_reuse_pair_audit_and_final_contract_seal,results/perfectdiode-conv123-zero-bias-ordinary-mnist-seed0-20260805-v1/runs/007_01_baseline_adam_bias_zero_seed0_9aac6b7d/result.json,configs/conv/perfectdiode_conv123_zero_bias_ordinary_mnist_seed0_20260805_v1/conv2/01_baseline_adam_bias_zero_seed0.json,T1_BPTT_conv2_baseline_gmax100_seed0,reuse_local,complete_collected_validated,reuse_and_pair_audit_pending,pending_contract_and_checkpoint_seal,bundles/table1_wide_bptt/conv2/baseline/seed0/result.json,3f5bc89c645953f6403188b0bce5a76ee81c6042ae572453217b541640af6e1b,97.36,97.36,30,ordinary_mnist_bias_ablation,jean-zay,,ac941dffa75ad142be3703c43134813168ac6f11,382df19e2baaea3b5d544a9e38fc5a348c7e1f8d6868254fcb2176d8c7ad213b,false,2026-09-11
